Ghi,Ghi90,Ghi10,Ebh,Dni,Dni10,Dni90,Dhi,air_temp,Zenith,Azimuth,cloud_opacity,period_end,Period
45,60,30,8,51,16,4,45,14,80,103,73,2017-11-10T08:00:00Z,PT30M
28,43,17,1,4,5,31,28,14,86,108,61,2017-11-10T08:30:00Z,PT30M
15,17,12,3,21,6,34,12,13,91,112,21,2017-11-10T09:00:00Z,PT30M
0,0,0,0,0,0,0,0,13,97,116,27,2017-11-10T09:30:00Z,PT30M
0,0,0,0,0,0,0,0,13,102,121,38,2017-11-10T10:00:00Z,PT30M
0,0,0,0,0,0,0,0,12,108,126,36,2017-11-10T10:30:00Z,PT30M
0,0,0,0,0,0,0,0,12,112,132,33,2017-11-10T11:00:00Z,PT30M
0,0,0,0,0,0,0,0,11,117,138,26,2017-11-10T11:30:00Z,PT30M
0,0,0,0,0,0,0,0,11,120,145,24,2017-11-10T12:00:00Z,PT30M
0,0,0,0,0,0,0,0,10,123,153,22,2017-11-10T12:30:00Z,PT30M
0,0,0,0,0,0,0,0,10,126,161,20,2017-11-10T13:00:00Z,PT30M
0,0,0,0,0,0,0,0,10,127,170,18,2017-11-10T13:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,128,179,16,2017-11-10T14:00:00Z,PT30M
0,0,0,0,0,0,0,0,9,128,-172,14,2017-11-10T14:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,126,-163,13,2017-11-10T15:00:00Z,PT30M
0,0,0,0,0,0,0,0,9,124,-155,12,2017-11-10T15:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,121,-147,12,2017-11-10T16:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,117,-140,12,2017-11-10T16:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,113,-133,12,2017-11-10T17:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,108,-128,12,2017-11-10T17:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,103,-122,13,2017-11-10T18:00:00Z,PT30M
0,0,0,0,0,0,0,0,8,98,-117,14,2017-11-10T18:30:00Z,PT30M
0,0,0,0,0,0,0,0,8,93,-113,14,2017-11-10T19:00:00Z,PT30M
28,33,22,9,58,17,118,18,8,87,-108,15,2017-11-10T19:30:00Z,PT30M
96,113,76,38,223,65,435,58,10,81,-104,14,2017-11-10T20:00:00Z,PT30M
181,214,143,78,301,89,576,103,11,75,-100,14,2017-11-10T20:30:00Z,PT30M
273,323,215,128,357,103,664,145,12,69,-96,14,2017-11-10T21:00:00Z,PT30M
366,433,287,179,395,108,738,186,13,63,-92,15,2017-11-10T21:30:00Z,PT30M
456,540,357,241,442,121,799,214,14,57,-88,15,2017-11-10T22:00:00Z,PT30M
539,640,422,302,480,130,841,236,16,51,-83,15,2017-11-10T22:30:00Z,PT30M
615,731,481,356,502,135,869,259,17,45,-78,16,2017-11-10T23:00:00Z,PT30M
684,812,534,402,518,138,886,281,18,39,-72,16,2017-11-10T23:30:00Z,PT30M
737,878,575,438,522,139,892,299,19,33,-64,16,2017-11-11,PT30M
778,932,606,464,526,128,903,314,19,28,-54,16,2017-11-11T00:30:00Z,PT30M
802,972,623,459,499,115,904,343,21,23,-41,17,2017-11-11T01:00:00Z,PT30M
807,991,624,424,451,103,892,383,21,20,-24,19,2017-11-11T01:30:00Z,PT30M
790,975,606,376,398,76,850,414,21,19,-2,20,2017-11-11T02:00:00Z,PT30M
753,935,571,287,305,55,781,466,20,20,20,24,2017-11-11T02:30:00Z,PT30M
698,875,520,202,219,35,676,495,19,22,38,28,2017-11-11T03:00:00Z,PT30M
632,802,462,134,150,22,549,497,18,27,52,32,2017-11-11T03:30:00Z,PT30M
561,721,401,85,100,13,433,475,18,32,62,37,2017-11-11T04:00:00Z,PT30M
494,642,347,57,73,9,351,437,17,38,70,40,2017-11-11T04:30:00Z,PT30M
437,571,304,45,62,7,309,392,16,43,76,41,2017-11-11T05:00:00Z,PT30M
387,505,270,43,65,8,293,344,16,49,82,40,2017-11-11T05:30:00Z,PT30M
340,441,240,39,71,10,315,300,16,56,87,39,2017-11-11T06:00:00Z,PT30M
288,369,206,39,84,14,336,248,16,62,91,36,2017-11-11T06:30:00Z,PT30M
227,289,165,35,95,18,344,191,14,68,95,33,2017-11-11T07:00:00Z,PT30M
161,204,118,26,97,21,345,134,14,74,99,31,2017-11-11T07:30:00Z,PT30M
92,116,68,16,96,22,308,75,14,80,103,28,2017-11-11T08:00:00Z,PT30M
32,41,24,5,34,5,116,26,13,86,108,26,2017-11-11T08:30:00Z,PT30M
0,0,0,0,0,0,0,0,13,91,112,24,2017-11-11T09:00:00Z,PT30M
0,0,0,0,0,0,0,0,12,97,116,23,2017-11-11T09:30:00Z,PT30M
0,0,0,0,0,0,0,0,12,102,121,21,2017-11-11T10:00:00Z,PT30M
0,0,0,0,0,0,0,0,11,108,126,20,2017-11-11T10:30:00Z,PT30M
0,0,0,0,0,0,0,0,11,112,132,18,2017-11-11T11:00:00Z,PT30M
0,0,0,0,0,0,0,0,10,117,138,17,2017-11-11T11:30:00Z,PT30M
0,0,0,0,0,0,0,0,10,120,145,15,2017-11-11T12:00:00Z,PT30M
